Created as New Dataset,
nm,%T
700.0,80.86
699.0,80.86
698.0,80.83
697.0,80.83
696.0,80.83
695.0,80.87
694.0,80.78
693.0,80.83
692.0,80.83
691.0,80.82
690.0,80.75
689.0,80.81
688.0,80.78
687.0,80.78
686.0,80.79
685.0,80.83
684.0,80.80
683.0,80.73
682.0,80.81
681.0,80.73
680.0,80.92
679.0,80.87
678.0,80.67
677.0,80.85
676.0,80.87
675.0,80.96
674.0,80.81
673.0,80.86
672.0,80.83
671.0,80.89
670.0,80.88
669.0,80.95
668.0,80.80
667.0,80.85
666.0,80.86
665.0,80.88
664.0,80.71
663.0,80.87
662.0,80.84
661.0,80.78
660.0,80.69
659.0,80.75
658.0,80.81
657.0,80.72
656.0,80.73
655.0,80.73
654.0,80.84
653.0,80.70
652.0,80.82
651.0,80.78
650.0,80.81
649.0,80.72
648.0,80.76
647.0,80.76
646.0,80.73
645.0,80.84
644.0,80.81
643.0,80.76
642.0,80.75
641.0,80.79
640.0,80.79
639.0,80.72
638.0,80.81
637.0,80.84
636.0,80.76
635.0,80.80
634.0,80.81
633.0,80.79
632.0,80.72
631.0,80.71
630.0,80.74
629.0,80.76
628.0,80.71
627.0,80.72
626.0,80.70
625.0,80.81
624.0,80.64
623.0,80.81
622.0,80.73
621.0,80.72
620.0,80.75
619.0,80.75
618.0,80.68
617.0,80.71
616.0,80.76
615.0,80.68
614.0,80.66
613.0,80.66
612.0,80.68
611.0,80.65
610.0,80.67
609.0,80.71
608.0,80.76
607.0,80.61
606.0,80.71
605.0,80.61
604.0,80.67
603.0,80.64
602.0,80.62
601.0,80.60
600.0,80.63
599.0,80.64
598.0,80.62
597.0,80.66
596.0,80.56
595.0,80.56
594.0,80.58
593.0,80.55
592.0,80.55
591.0,80.52
590.0,80.48
589.0,80.50
588.0,80.47
587.0,80.51
586.0,80.55
585.0,80.59
584.0,80.47
583.0,80.47
582.0,80.54
581.0,80.49
580.0,80.52
579.0,80.50
578.0,80.54
577.0,80.49
576.0,80.48
575.0,80.42
574.0,80.53
573.0,80.53
572.0,80.54
571.0,80.48
570.0,80.50
569.0,80.64
568.0,80.53
567.0,80.48
566.0,80.42
565.0,80.51
564.0,80.49
563.0,80.35
562.0,80.44
561.0,80.47
560.0,80.41
559.0,80.33
558.0,80.39
557.0,80.38
556.0,80.49
555.0,80.41
554.0,80.39
553.0,80.47
552.0,80.42
551.0,80.30
550.0,80.45
549.0,80.36
548.0,80.47
547.0,80.32
546.0,80.41
545.0,80.48
544.0,80.41
543.0,80.41
542.0,80.39
541.0,80.34
540.0,80.43
539.0,80.34
538.0,80.38
537.0,80.25
536.0,80.31
535.0,80.41
534.0,80.30
533.0,80.36
532.0,80.30
531.0,80.32
530.0,80.31
529.0,80.28
528.0,80.25
527.0,80.21
526.0,80.30
525.0,80.29
524.0,80.28
523.0,80.30
522.0,80.25
521.0,80.22
520.0,80.20
519.0,80.24
518.0,80.21
517.0,80.21
516.0,80.26
515.0,80.24
514.0,80.24
513.0,80.18
512.0,80.25
511.0,80.20
510.0,80.16
509.0,80.12
508.0,80.21
507.0,80.10
506.0,80.09
505.0,80.16
504.0,80.16
503.0,80.15
502.0,80.14
501.0,80.11
500.0,80.19
499.0,79.99
498.0,80.01
497.0,80.10
496.0,80.02
495.0,80.04
494.0,80.11
493.0,79.99
492.0,79.99
491.0,79.96
490.0,79.94
489.0,80.01
488.0,79.95
487.0,79.89
486.0,79.93
485.0,79.81
484.0,79.88
483.0,79.87
482.0,79.93
481.0,79.85
480.0,79.82
479.0,79.64
478.0,79.82
477.0,79.84
476.0,79.64
475.0,79.55
474.0,79.74
473.0,79.62
472.0,79.69
471.0,79.68
470.0,79.71
469.0,79.64
468.0,79.71
467.0,79.68
466.0,79.73
465.0,79.59
464.0,79.64
463.0,79.62
462.0,79.67
461.0,79.66
460.0,79.48
459.0,79.62
458.0,79.51
457.0,79.80
456.0,79.55
455.0,79.42
454.0,79.47
453.0,79.62
452.0,79.43
451.0,79.63
450.0,79.50
449.0,79.49
448.0,79.35
447.0,79.43
446.0,79.48
445.0,79.25
444.0,79.27
443.0,79.48
442.0,79.11
441.0,79.33
440.0,79.47
439.0,79.37
438.0,79.21
437.0,79.18
436.0,79.41
435.0,79.27
434.0,79.25
433.0,78.98
432.0,79.12
431.0,79.23
430.0,79.10
429.0,79.18
428.0,79.14
427.0,79.30
426.0,79.10
425.0,79.25
424.0,78.91
423.0,79.28
422.0,78.89
421.0,79.12
420.0,78.87
419.0,78.90
418.0,78.85
417.0,78.76
416.0,78.79
415.0,78.85
414.0,78.77
413.0,78.67
412.0,78.75
411.0,78.70
410.0,78.59
409.0,78.62
408.0,78.71
407.0,78.55
406.0,78.61
405.0,78.57
404.0,78.53
403.0,78.51
402.0,78.57
401.0,78.42
400.0,78.44
399.0,78.35
398.0,78.37
397.0,78.37
396.0,78.23
395.0,78.30
394.0,78.24
393.0,78.30
392.0,78.07
391.0,78.18
390.0,78.23
389.0,78.05
388.0,78.01
387.0,78.13
386.0,78.06
385.0,80.84
384.0,83.33
383.0,80.45
382.0,78.92
381.0,82.78
380.0,77.83
379.0,78.47
378.0,77.42
377.0,79.14
376.0,79.00
375.0,78.86
374.0,78.35
373.0,78.10
372.0,79.43
371.0,77.48
370.0,78.06
369.0,78.37
368.0,78.79
367.0,78.64
366.0,78.60
365.0,78.16
364.0,77.16
363.0,78.49
362.0,75.79
361.0,76.03
360.0,78.11
359.0,76.39
358.0,76.48
357.0,76.43
356.0,77.97
355.0,76.30
354.0,75.79
353.0,77.99
352.0,75.99
351.0,76.31
350.0,75.63
349.0,72.82
348.0,74.74
347.0,74.30
346.0,74.55
345.0,74.01
344.0,73.84
343.0,72.20
342.0,71.36
341.0,72.92
340.0,72.85
339.0,73.00
338.0,75.23
337.0,71.83
336.0,70.89
335.0,72.01
334.0,73.12
333.0,73.94
332.0,67.02
331.0,69.38
330.0,69.76
329.0,67.43
328.0,65.17
327.0,67.66
326.0,62.21
325.0,62.83
324.0,61.93
323.0,60.80
322.0,61.09
321.0,58.80
320.0,58.64
319.0,56.38
318.0,53.65
317.0,52.70
316.0,50.36
315.0,47.06
314.0,42.90
313.0,39.65
312.0,34.82
311.0,29.31
310.0,23.88
309.0,17.67
308.0,13.28
307.0,9.74
306.0,7.79
305.0,7.33
304.0,7.49
303.0,7.49
302.0,7.49
301.0,7.31
300.0,8.69
299.0,8.01
298.0,7.78
297.0,8.34
296.0,8.63
295.0,8.91
294.0,10.16
293.0,8.86
292.0,10.26
291.0,9.04
290.0,10.47
289.0,9.72
288.0,10.61
287.0,10.49
286.0,10.60
285.0,10.23
284.0,10.92
283.0,10.98
282.0,10.48
281.0,11.16
280.0,12.46
279.0,11.38
278.0,12.00
277.0,11.16
276.0,11.67
275.0,11.02
274.0,11.38
273.0,11.79
272.0,12.05
271.0,10.81
270.0,11.14
269.0,11.80
268.0,10.32
267.0,11.20
266.0,10.65
265.0,10.90
264.0,10.28
263.0,10.72
262.0,10.29
261.0,10.15
260.0,10.53
259.0,10.98
258.0,10.76
257.0,10.68
256.0,11.47
255.0,11.01
254.0,11.40
253.0,10.69
252.0,11.37
251.0,11.65
250.0,10.92
249.0,12.33
248.0,12.33
247.0,12.26
246.0,12.00
245.0,13.05
244.0,12.40
243.0,12.09
242.0,13.26
241.0,12.96
240.0,13.57
239.0,13.84
238.0,13.96
237.0,13.87
236.0,14.57
235.0,14.98
234.0,15.70
233.0,15.97
232.0,16.24
231.0,16.68
230.0,16.21
229.0,16.92
228.0,17.55
227.0,18.17
226.0,18.77
225.0,18.24
224.0,18.17
223.0,18.46
222.0,19.50
221.0,19.53
220.0,20.88
219.0,21.14
218.0,19.69
217.0,22.47
216.0,23.36
215.0,25.46
214.0,22.91
213.0,27.56
212.0,27.66
211.0,27.11
210.0,30.32
209.0,33.18
208.0,34.94
207.0,33.88
206.0,39.70
205.0,36.33
204.0,40.97
203.0,44.75
202.0,48.54
201.0,49.77
200.0,50.00
