Created as New Dataset,
nm,%T
700.0,80.47
699.0,80.52
698.0,80.48
697.0,80.45
696.0,80.47
695.0,80.46
694.0,80.40
693.0,80.46
692.0,80.47
691.0,80.46
690.0,80.41
689.0,80.48
688.0,80.45
687.0,80.40
686.0,80.41
685.0,80.50
684.0,80.42
683.0,80.44
682.0,80.37
681.0,80.40
680.0,80.44
679.0,80.48
678.0,80.36
677.0,80.47
676.0,80.34
675.0,80.50
674.0,80.39
673.0,80.51
672.0,80.39
671.0,80.38
670.0,80.46
669.0,80.45
668.0,80.23
667.0,80.37
666.0,80.59
665.0,80.36
664.0,80.26
663.0,80.46
662.0,80.49
661.0,80.37
660.0,80.43
659.0,80.31
658.0,80.34
657.0,80.43
656.0,80.37
655.0,80.33
654.0,80.38
653.0,80.36
652.0,80.45
651.0,80.37
650.0,80.39
649.0,80.49
648.0,80.40
647.0,80.35
646.0,80.45
645.0,80.42
644.0,80.32
643.0,80.31
642.0,80.38
641.0,80.38
640.0,80.34
639.0,80.36
638.0,80.43
637.0,80.37
636.0,80.38
635.0,80.45
634.0,80.40
633.0,80.41
632.0,80.42
631.0,80.36
630.0,80.35
629.0,80.39
628.0,80.29
627.0,80.35
626.0,80.34
625.0,80.40
624.0,80.26
623.0,80.39
622.0,80.40
621.0,80.33
620.0,80.31
619.0,80.35
618.0,80.32
617.0,80.31
616.0,80.36
615.0,80.32
614.0,80.27
613.0,80.32
612.0,80.36
611.0,80.29
610.0,80.29
609.0,80.31
608.0,80.35
607.0,80.25
606.0,80.35
605.0,80.27
604.0,80.26
603.0,80.28
602.0,80.31
601.0,80.31
600.0,80.29
599.0,80.33
598.0,80.28
597.0,80.27
596.0,80.26
595.0,80.23
594.0,80.21
593.0,80.21
592.0,80.26
591.0,80.14
590.0,80.15
589.0,80.25
588.0,80.17
587.0,80.16
586.0,80.16
585.0,80.21
584.0,80.12
583.0,80.13
582.0,80.20
581.0,80.13
580.0,80.14
579.0,80.15
578.0,80.20
577.0,80.15
576.0,80.10
575.0,80.07
574.0,80.11
573.0,80.07
572.0,80.11
571.0,80.12
570.0,80.08
569.0,80.18
568.0,80.17
567.0,80.08
566.0,80.00
565.0,80.11
564.0,80.24
563.0,79.97
562.0,80.07
561.0,80.20
560.0,79.98
559.0,80.01
558.0,80.07
557.0,80.02
556.0,80.12
555.0,80.04
554.0,80.03
553.0,80.09
552.0,80.11
551.0,80.07
550.0,80.04
549.0,80.07
548.0,80.08
547.0,79.94
546.0,80.00
545.0,80.09
544.0,80.04
543.0,80.12
542.0,80.00
541.0,80.01
540.0,80.09
539.0,79.97
538.0,79.98
537.0,80.02
536.0,79.95
535.0,79.98
534.0,79.98
533.0,79.99
532.0,79.98
531.0,79.85
530.0,79.99
529.0,79.99
528.0,79.89
527.0,79.90
526.0,80.02
525.0,79.96
524.0,79.99
523.0,79.93
522.0,79.92
521.0,79.86
520.0,79.95
519.0,80.01
518.0,79.90
517.0,79.96
516.0,79.90
515.0,79.90
514.0,79.94
513.0,79.89
512.0,79.91
511.0,79.82
510.0,79.86
509.0,79.88
508.0,79.83
507.0,79.76
506.0,79.67
505.0,79.77
504.0,79.83
503.0,79.79
502.0,79.81
501.0,79.79
500.0,79.78
499.0,79.77
498.0,79.73
497.0,79.75
496.0,79.80
495.0,79.69
494.0,79.80
493.0,79.70
492.0,79.72
491.0,79.61
490.0,79.67
489.0,79.75
488.0,79.61
487.0,79.64
486.0,79.60
485.0,79.54
484.0,79.56
483.0,79.65
482.0,79.54
481.0,79.60
480.0,79.52
479.0,79.38
478.0,79.49
477.0,79.49
476.0,79.42
475.0,79.34
474.0,79.55
473.0,79.44
472.0,79.45
471.0,79.34
470.0,79.38
469.0,79.30
468.0,79.39
467.0,79.40
466.0,79.42
465.0,79.35
464.0,79.33
463.0,79.32
462.0,79.33
461.0,79.29
460.0,79.20
459.0,79.34
458.0,79.29
457.0,79.39
456.0,79.23
455.0,79.23
454.0,79.16
453.0,79.19
452.0,79.11
451.0,79.30
450.0,79.09
449.0,79.25
448.0,79.24
447.0,79.01
446.0,79.09
445.0,79.02
444.0,79.17
443.0,78.98
442.0,78.81
441.0,78.99
440.0,79.02
439.0,79.16
438.0,79.06
437.0,78.90
436.0,78.84
435.0,78.98
434.0,78.95
433.0,78.67
432.0,78.69
431.0,78.82
430.0,78.84
429.0,78.79
428.0,78.93
427.0,79.01
426.0,78.50
425.0,78.60
424.0,78.47
423.0,78.88
422.0,78.62
421.0,78.62
420.0,78.80
419.0,78.71
418.0,78.64
417.0,78.70
416.0,78.69
415.0,78.62
414.0,78.68
413.0,78.52
412.0,78.54
411.0,78.58
410.0,78.48
409.0,78.58
408.0,78.50
407.0,78.59
406.0,78.48
405.0,78.41
404.0,78.45
403.0,78.32
402.0,78.41
401.0,78.35
400.0,78.45
399.0,78.40
398.0,78.02
397.0,78.42
396.0,78.18
395.0,78.02
394.0,78.17
393.0,78.25
392.0,77.99
391.0,77.95
390.0,78.26
389.0,77.84
388.0,77.90
387.0,77.94
386.0,77.90
385.0,75.50
384.0,76.97
383.0,78.67
382.0,73.82
381.0,76.22
380.0,75.03
379.0,78.09
378.0,72.84
377.0,75.72
376.0,76.68
375.0,75.76
374.0,76.09
373.0,78.33
372.0,77.46
371.0,76.57
370.0,76.76
369.0,75.98
368.0,76.42
367.0,77.87
366.0,76.22
365.0,75.84
364.0,73.98
363.0,76.62
362.0,74.95
361.0,74.89
360.0,77.32
359.0,74.81
358.0,74.89
357.0,75.25
356.0,76.07
355.0,75.17
354.0,75.70
353.0,74.95
352.0,74.81
351.0,73.34
350.0,73.10
349.0,72.69
348.0,74.17
347.0,73.91
346.0,72.24
345.0,73.42
344.0,73.59
343.0,71.72
342.0,71.28
341.0,71.19
340.0,70.38
339.0,70.81
338.0,73.84
337.0,70.37
336.0,70.07
335.0,67.47
334.0,69.37
333.0,69.71
332.0,68.19
331.0,68.51
330.0,65.94
329.0,66.02
328.0,67.61
327.0,61.05
326.0,68.16
