Created as New Dataset,
nm,%T
700.0,81.11
699.0,81.12
698.0,81.14
697.0,81.13
696.0,81.15
695.0,81.17
694.0,81.15
693.0,81.16
692.0,81.09
691.0,81.10
690.0,81.08
689.0,81.13
688.0,81.04
687.0,81.06
686.0,81.06
685.0,81.09
684.0,81.08
683.0,81.17
682.0,81.10
681.0,80.98
680.0,81.02
679.0,81.17
678.0,81.01
677.0,81.08
676.0,81.17
675.0,80.93
674.0,80.91
673.0,81.07
672.0,81.03
671.0,81.17
670.0,81.25
669.0,80.96
668.0,81.05
667.0,81.05
666.0,80.99
665.0,81.11
664.0,81.12
663.0,81.02
662.0,81.13
661.0,81.18
660.0,80.97
659.0,81.01
658.0,81.06
657.0,80.99
656.0,80.95
655.0,80.99
654.0,81.00
653.0,81.06
652.0,81.08
651.0,80.95
650.0,81.01
649.0,80.92
648.0,81.05
647.0,80.94
646.0,80.97
645.0,80.92
644.0,80.95
643.0,80.84
642.0,81.04
641.0,80.97
640.0,81.07
639.0,80.99
638.0,80.97
637.0,80.98
636.0,80.95
635.0,80.91
634.0,80.96
633.0,80.98
632.0,80.96
631.0,80.89
630.0,80.97
629.0,81.03
628.0,80.95
627.0,81.03
626.0,80.93
625.0,80.93
624.0,80.90
623.0,81.00
622.0,80.95
621.0,80.89
620.0,80.89
619.0,80.85
618.0,80.93
617.0,80.83
616.0,80.79
615.0,80.93
614.0,80.83
613.0,80.83
612.0,80.92
611.0,80.88
610.0,80.85
609.0,80.87
608.0,80.74
607.0,80.83
606.0,80.89
605.0,80.92
604.0,80.78
603.0,80.77
602.0,80.77
601.0,80.82
600.0,80.82
599.0,80.84
598.0,80.84
597.0,80.73
596.0,80.69
595.0,80.75
594.0,80.67
593.0,80.79
592.0,80.79
591.0,80.70
590.0,80.74
589.0,80.77
588.0,80.70
587.0,80.62
586.0,80.59
585.0,80.80
584.0,80.72
583.0,80.76
582.0,80.72
581.0,80.71
580.0,80.72
579.0,80.72
578.0,80.69
577.0,80.73
576.0,80.70
575.0,80.75
574.0,80.66
573.0,80.52
572.0,80.55
571.0,80.52
570.0,80.73
569.0,80.76
568.0,80.60
567.0,80.60
566.0,80.53
565.0,80.59
564.0,80.42
563.0,80.68
562.0,80.56
561.0,80.57
560.0,80.53
559.0,80.50
558.0,80.68
557.0,80.54
556.0,80.51
555.0,80.41
554.0,80.45
553.0,80.46
552.0,80.53
551.0,80.36
