Created as New Dataset,
nm,%T
700.0,84.05
699.0,83.97
698.0,84.03
697.0,84.06
696.0,84.04
695.0,84.03
694.0,83.96
693.0,84.06
692.0,84.02
691.0,83.99
690.0,83.95
689.0,83.98
688.0,83.97
687.0,84.03
686.0,83.93
685.0,84.01
684.0,83.96
683.0,83.92
682.0,84.02
681.0,83.84
680.0,83.94
679.0,84.03
678.0,83.88
677.0,83.89
676.0,83.99
675.0,83.83
674.0,83.86
673.0,83.94
672.0,83.99
671.0,84.01
670.0,83.82
669.0,83.87
668.0,83.99
667.0,83.93
666.0,83.87
665.0,83.87
664.0,83.95
663.0,83.90
662.0,83.89
661.0,84.03
660.0,83.77
659.0,83.93
658.0,83.87
657.0,83.99
656.0,83.65
655.0,83.80
654.0,83.94
653.0,83.85
652.0,83.84
651.0,83.95
650.0,83.88
649.0,83.78
648.0,83.92
647.0,83.79
646.0,83.81
645.0,83.92
644.0,83.74
643.0,83.78
642.0,83.93
641.0,83.81
640.0,83.82
639.0,83.82
638.0,83.80
637.0,83.82
636.0,83.68
635.0,83.74
634.0,83.79
633.0,83.82
632.0,83.81
631.0,83.76
630.0,83.81
629.0,83.78
628.0,83.72
627.0,83.69
626.0,83.71
625.0,83.67
624.0,83.70
623.0,83.74
622.0,83.70
621.0,83.74
620.0,83.71
619.0,83.71
618.0,83.81
617.0,83.68
616.0,83.64
615.0,83.73
614.0,83.65
613.0,83.65
612.0,83.69
611.0,83.71
610.0,83.68
609.0,83.61
608.0,83.60
607.0,83.69
606.0,83.71
605.0,83.71
604.0,83.61
603.0,83.71
602.0,83.63
601.0,83.67
600.0,83.62
599.0,83.66
598.0,83.62
597.0,83.60
596.0,83.61
595.0,83.73
594.0,83.61
593.0,83.61
592.0,83.65
591.0,83.70
590.0,83.74
589.0,83.73
588.0,83.70
587.0,83.67
586.0,83.65
585.0,83.77
584.0,83.72
583.0,83.80
582.0,83.77
581.0,83.74
580.0,83.76
579.0,83.82
578.0,83.70
577.0,83.74
576.0,83.72
575.0,83.85
574.0,83.64
573.0,83.61
572.0,83.64
571.0,83.75
570.0,83.56
569.0,83.79
568.0,83.65
567.0,83.73
566.0,83.60
565.0,83.65
564.0,83.50
563.0,83.67
562.0,83.42
561.0,83.57
560.0,83.56
559.0,83.52
558.0,83.74
557.0,83.54
556.0,83.61
555.0,83.56
554.0,83.42
553.0,83.47
552.0,83.72
551.0,83.58
550.0,83.61
549.0,83.43
548.0,83.48
547.0,83.53
546.0,83.55
545.0,83.57
544.0,83.49
543.0,83.41
542.0,83.50
541.0,83.39
540.0,83.39
539.0,83.39
538.0,83.46
537.0,83.45
536.0,83.38
535.0,83.41
534.0,83.38
533.0,83.29
532.0,83.39
531.0,83.39
530.0,83.34
529.0,83.39
528.0,83.27
527.0,83.20
526.0,83.27
525.0,83.29
524.0,83.23
523.0,83.36
522.0,83.34
521.0,83.23
520.0,83.22
519.0,83.27
518.0,83.21
517.0,83.31
516.0,83.39
515.0,83.26
514.0,83.26
513.0,83.22
512.0,83.15
511.0,83.04
510.0,83.11
509.0,83.14
508.0,83.28
507.0,83.18
506.0,83.10
505.0,83.08
504.0,83.03
503.0,83.04
502.0,83.09
501.0,83.06
500.0,83.07
499.0,83.01
498.0,82.93
497.0,83.22
496.0,83.20
495.0,83.09
494.0,82.95
493.0,83.06
492.0,83.20
491.0,82.99
490.0,82.90
489.0,83.02
488.0,83.00
487.0,83.02
486.0,83.01
485.0,82.81
484.0,82.93
483.0,82.96
482.0,82.93
481.0,82.92
480.0,82.92
479.0,82.98
478.0,82.81
477.0,82.79
476.0,82.84
475.0,82.93
474.0,82.80
473.0,82.86
472.0,82.89
471.0,82.70
470.0,82.58
469.0,82.76
468.0,82.89
467.0,82.78
466.0,82.87
465.0,82.93
464.0,82.65
463.0,82.64
462.0,82.54
461.0,82.61
460.0,82.70
459.0,82.53
458.0,82.55
457.0,82.28
456.0,82.45
455.0,82.51
454.0,82.41
453.0,82.40
452.0,82.55
451.0,82.23
450.0,82.43
449.0,82.38
448.0,82.17
447.0,82.40
446.0,82.30
445.0,82.16
444.0,82.41
443.0,82.06
442.0,82.03
441.0,82.18
440.0,82.18
439.0,82.04
438.0,82.06
437.0,82.31
436.0,82.23
435.0,81.92
434.0,81.96
433.0,81.44
432.0,82.09
431.0,82.22
430.0,82.48
429.0,81.70
428.0,81.93
427.0,81.58
426.0,81.71
425.0,81.88
424.0,81.99
423.0,81.98
422.0,81.77
421.0,81.92
420.0,81.59
419.0,81.77
418.0,81.68
417.0,81.68
416.0,81.60
415.0,81.57
