Created as New Dataset,
nm,%T
700.0,85.43
699.0,85.47
698.0,85.46
697.0,85.47
696.0,85.48
695.0,85.39
694.0,85.36
693.0,85.41
692.0,85.38
691.0,85.33
690.0,85.35
689.0,85.36
688.0,85.39
687.0,85.31
686.0,85.30
685.0,85.36
684.0,85.36
683.0,85.30
682.0,85.36
681.0,85.21
680.0,85.31
679.0,85.39
678.0,85.17
677.0,85.29
676.0,85.26
675.0,85.17
674.0,85.23
673.0,85.26
672.0,85.33
671.0,85.23
670.0,85.36
669.0,85.22
668.0,85.26
667.0,85.32
666.0,85.22
665.0,85.20
664.0,85.27
663.0,85.20
662.0,85.17
661.0,85.40
660.0,85.22
659.0,85.26
658.0,85.20
657.0,85.14
656.0,85.11
655.0,85.28
654.0,85.29
653.0,85.25
652.0,85.25
651.0,85.25
650.0,85.30
649.0,85.23
648.0,85.31
647.0,85.34
646.0,85.17
645.0,85.12
644.0,85.17
643.0,85.15
642.0,85.36
641.0,85.20
640.0,85.23
639.0,85.18
638.0,85.17
637.0,85.28
636.0,85.23
635.0,85.25
634.0,85.21
633.0,85.25
632.0,85.30
631.0,85.14
630.0,85.23
629.0,85.14
628.0,85.22
627.0,85.24
626.0,85.19
625.0,85.24
624.0,85.11
623.0,85.24
622.0,85.16
621.0,85.22
620.0,85.16
619.0,85.13
618.0,85.23
617.0,85.21
616.0,85.23
615.0,85.19
614.0,85.09
613.0,85.20
612.0,85.16
611.0,85.28
610.0,85.18
609.0,85.13
608.0,85.14
607.0,85.15
606.0,85.26
605.0,85.23
604.0,85.20
603.0,85.16
602.0,85.14
601.0,85.22
600.0,85.22
599.0,85.20
598.0,85.24
597.0,85.19
596.0,85.19
595.0,85.24
594.0,85.15
593.0,85.19
592.0,85.26
591.0,85.22
590.0,85.32
589.0,85.29
588.0,85.24
587.0,85.18
586.0,85.16
585.0,85.31
584.0,85.18
583.0,85.29
582.0,85.21
581.0,85.25
580.0,85.21
579.0,85.09
578.0,85.11
577.0,85.17
576.0,85.14
575.0,85.16
574.0,85.00
573.0,84.94
572.0,84.92
571.0,84.89
570.0,84.88
569.0,85.10
568.0,84.90
567.0,84.83
566.0,84.77
565.0,84.80
564.0,84.68
563.0,84.93
562.0,84.69
561.0,84.86
560.0,84.81
559.0,84.58
558.0,84.92
557.0,84.81
556.0,84.90
555.0,84.85
554.0,84.67
553.0,84.81
552.0,84.90
551.0,84.82
550.0,84.83
549.0,84.84
548.0,84.81
547.0,84.86
546.0,84.85
545.0,84.86
544.0,84.75
543.0,84.84
542.0,84.96
541.0,84.86
540.0,84.84
539.0,84.81
538.0,84.79
537.0,84.82
536.0,84.86
535.0,84.79
534.0,84.80
533.0,84.66
532.0,84.77
531.0,84.82
530.0,84.75
529.0,84.85
528.0,84.76
527.0,84.60
526.0,84.70
525.0,84.75
524.0,84.74
523.0,84.85
522.0,84.82
521.0,84.78
520.0,84.68
519.0,84.71
518.0,84.68
517.0,84.84
516.0,84.92
515.0,84.77
514.0,84.73
513.0,84.74
512.0,84.60
511.0,84.68
510.0,84.63
509.0,84.70
508.0,84.73
507.0,84.68
506.0,84.86
505.0,84.68
504.0,84.60
503.0,84.72
502.0,84.77
501.0,84.69
500.0,84.67
499.0,84.52
498.0,84.65
497.0,84.60
496.0,84.69
495.0,84.61
494.0,84.51
493.0,84.59
492.0,84.67
491.0,84.60
490.0,84.63
489.0,84.68
488.0,84.63
487.0,84.51
486.0,84.60
485.0,84.44
484.0,84.48
483.0,84.50
482.0,84.48
481.0,84.59
480.0,84.35
479.0,84.54
478.0,84.51
477.0,84.51
476.0,84.48
475.0,84.41
474.0,84.53
473.0,84.44
472.0,84.38
471.0,84.36
470.0,84.29
469.0,84.26
468.0,84.28
467.0,84.28
466.0,84.44
465.0,84.37
464.0,84.31
463.0,84.41
462.0,84.14
461.0,84.19
460.0,84.27
459.0,84.23
458.0,84.14
457.0,84.11
456.0,83.92
455.0,84.13
454.0,84.04
453.0,83.88
452.0,84.04
451.0,83.93
450.0,84.09
449.0,84.07
448.0,83.83
447.0,84.12
446.0,83.91
445.0,83.76
444.0,84.14
443.0,83.82
442.0,83.83
441.0,84.16
440.0,83.99
439.0,83.55
438.0,83.66
437.0,83.75
436.0,84.02
435.0,83.89
434.0,83.70
433.0,83.54
432.0,83.40
431.0,83.39
430.0,83.95
429.0,83.37
428.0,83.34
427.0,83.71
426.0,83.16
425.0,83.56
424.0,83.56
423.0,83.42
422.0,83.51
421.0,83.21
420.0,82.94
419.0,83.11
418.0,83.33
417.0,83.24
416.0,83.05
415.0,83.15
414.0,83.17
413.0,83.12
412.0,83.15
411.0,83.14
410.0,83.06
409.0,83.02
408.0,83.11
407.0,83.04
406.0,83.07
405.0,82.97
404.0,82.91
403.0,82.98
402.0,82.89
401.0,82.84
400.0,82.97
399.0,83.01
398.0,82.85
397.0,82.72
396.0,82.76
395.0,82.82
394.0,82.78
393.0,82.81
392.0,82.70
391.0,82.85
390.0,82.59
389.0,82.71
388.0,82.56
387.0,82.65
386.0,82.79
385.0,84.25
384.0,81.47
383.0,81.82
382.0,82.01
381.0,87.58
380.0,85.79
379.0,84.75
378.0,83.38
377.0,83.72
376.0,82.99
375.0,83.17
374.0,85.02
373.0,82.70
372.0,82.23
371.0,80.45
370.0,83.58
369.0,81.29
368.0,83.25
367.0,82.73
366.0,82.88
365.0,81.99
364.0,81.91
363.0,81.94
362.0,83.44
361.0,84.05
360.0,82.44
359.0,81.59
358.0,80.77
357.0,82.62
356.0,78.99
355.0,83.00
354.0,78.98
353.0,81.76
352.0,81.72
351.0,82.06
350.0,79.88
349.0,79.11
348.0,78.22
347.0,75.64
346.0,77.72
345.0,78.53
344.0,76.83
343.0,79.40
342.0,75.05
341.0,74.92
340.0,74.64
339.0,76.07
338.0,76.59
337.0,77.05
336.0,72.39
335.0,72.77
334.0,71.44
333.0,70.57
332.0,72.85
331.0,72.28
330.0,67.63
329.0,70.57
328.0,68.92
327.0,66.29
326.0,66.41
325.0,65.27
324.0,64.48
323.0,65.58
322.0,64.13
321.0,62.53
320.0,61.69
319.0,60.37
318.0,58.51
317.0,56.38
316.0,55.37
315.0,53.30
314.0,52.49
313.0,50.64
312.0,49.48
311.0,47.49
310.0,48.52
309.0,47.46
308.0,47.93
307.0,47.87
306.0,48.77
305.0,48.89
304.0,49.31
303.0,49.33
302.0,48.88
301.0,49.98
300.0,51.19
