Created as New Dataset,
nm,%T
700.0,77.83
699.0,77.82
698.0,77.83
697.0,77.83
696.0,77.83
695.0,77.84
694.0,77.78
693.0,77.82
692.0,77.83
691.0,77.83
690.0,77.77
689.0,77.82
688.0,77.82
687.0,77.79
686.0,77.79
685.0,77.84
684.0,77.84
683.0,77.80
682.0,77.77
681.0,77.79
680.0,77.85
679.0,77.76
678.0,77.74
677.0,77.82
676.0,77.83
675.0,77.79
674.0,77.83
673.0,77.82
672.0,77.83
671.0,77.84
670.0,77.91
669.0,77.88
668.0,77.70
667.0,77.84
666.0,77.84
665.0,77.84
664.0,77.78
663.0,77.85
662.0,77.85
661.0,77.76
660.0,77.63
659.0,77.78
658.0,77.83
657.0,77.77
656.0,77.79
655.0,77.73
654.0,77.80
653.0,77.74
652.0,77.79
651.0,77.77
650.0,77.85
649.0,77.78
648.0,77.85
647.0,77.74
646.0,77.81
645.0,77.90
644.0,77.76
643.0,77.77
642.0,77.78
641.0,77.85
640.0,77.82
639.0,77.79
638.0,77.80
637.0,77.81
636.0,77.78
635.0,77.86
634.0,77.83
633.0,77.78
632.0,77.71
631.0,77.77
630.0,77.78
629.0,77.84
628.0,77.75
627.0,77.77
626.0,77.79
625.0,77.74
624.0,77.79
623.0,77.78
622.0,77.81
621.0,77.76
620.0,77.86
619.0,77.78
618.0,77.79
617.0,77.77
616.0,77.81
615.0,77.74
614.0,77.73
613.0,77.76
612.0,77.73
611.0,77.74
610.0,77.77
609.0,77.73
608.0,77.76
607.0,77.68
606.0,77.80
605.0,77.72
604.0,77.69
603.0,77.70
602.0,77.71
601.0,77.66
600.0,77.69
599.0,77.74
598.0,77.67
597.0,77.69
596.0,77.67
595.0,77.65
594.0,77.64
593.0,77.64
592.0,77.65
591.0,77.61
590.0,77.57
589.0,77.65
588.0,77.59
587.0,77.65
586.0,77.64
585.0,77.66
584.0,77.63
583.0,77.66
582.0,77.66
581.0,77.65
580.0,77.64
579.0,77.67
578.0,77.69
577.0,77.59
576.0,77.58
575.0,77.53
574.0,77.63
573.0,77.68
572.0,77.61
571.0,77.55
570.0,77.66
569.0,77.72
568.0,77.60
567.0,77.53
566.0,77.52
565.0,77.60
564.0,77.57
563.0,77.55
562.0,77.59
561.0,77.61
560.0,77.57
559.0,77.50
558.0,77.53
557.0,77.58
556.0,77.61
555.0,77.50
554.0,77.45
553.0,77.60
552.0,77.61
551.0,77.45
550.0,77.57
549.0,77.57
548.0,77.47
547.0,77.46
546.0,77.50
545.0,77.55
544.0,77.58
543.0,77.54
542.0,77.51
541.0,77.55
540.0,77.58
539.0,77.52
538.0,77.48
537.0,77.62
536.0,77.46
535.0,77.52
534.0,77.56
533.0,77.57
532.0,77.44
531.0,77.48
530.0,77.52
529.0,77.53
528.0,77.46
527.0,77.41
526.0,77.48
525.0,77.45
524.0,77.42
523.0,77.48
522.0,77.48
521.0,77.37
520.0,77.43
519.0,77.50
518.0,77.44
517.0,77.49
516.0,77.42
515.0,77.43
514.0,77.46
513.0,77.34
512.0,77.41
511.0,77.41
510.0,77.37
509.0,77.36
508.0,77.42
507.0,77.33
506.0,77.29
505.0,77.31
504.0,77.42
503.0,77.40
502.0,77.34
501.0,77.29
500.0,77.36
499.0,77.29
498.0,77.25
497.0,77.38
496.0,77.32
495.0,77.16
494.0,77.34
493.0,77.22
492.0,77.21
491.0,77.13
490.0,77.30
489.0,77.25
488.0,77.10
487.0,77.21
486.0,77.21
485.0,77.08
484.0,77.09
483.0,77.12
482.0,77.08
481.0,77.07
480.0,76.99
479.0,76.94
478.0,77.00
477.0,77.08
476.0,76.96
475.0,76.95
474.0,77.02
473.0,76.99
472.0,76.94
471.0,76.89
470.0,76.91
469.0,76.94
468.0,77.04
467.0,76.87
466.0,77.03
465.0,76.96
464.0,76.95
463.0,76.84
462.0,76.96
461.0,76.90
460.0,76.90
459.0,76.94
458.0,76.88
457.0,76.92
456.0,76.89
455.0,76.77
454.0,76.83
453.0,76.81
452.0,76.79
451.0,77.02
450.0,76.76
449.0,76.72
448.0,76.83
447.0,76.75
446.0,76.75
445.0,76.61
444.0,76.67
443.0,76.78
442.0,76.64
441.0,76.58
440.0,76.84
439.0,76.89
438.0,76.68
437.0,76.63
436.0,76.69
435.0,76.50
434.0,76.55
433.0,76.42
432.0,76.63
431.0,76.49
430.0,76.58
429.0,76.37
428.0,76.49
427.0,76.67
426.0,76.20
425.0,76.34
424.0,76.03
423.0,76.37
422.0,76.34
421.0,76.08
420.0,76.30
419.0,76.20
418.0,76.12
417.0,76.11
416.0,76.13
415.0,76.11
414.0,76.03
413.0,75.92
412.0,75.96
411.0,75.92
410.0,75.81
409.0,75.86
408.0,75.82
407.0,75.73
406.0,75.65
405.0,75.63
404.0,75.63
403.0,75.44
402.0,75.49
401.0,75.45
400.0,75.44
399.0,75.41
398.0,75.24
397.0,75.33
396.0,75.15
395.0,75.00
394.0,75.04
393.0,75.14
392.0,74.84
391.0,74.81
390.0,74.87
389.0,74.69
388.0,74.73
387.0,74.75
386.0,74.55
385.0,77.96
384.0,75.00
383.0,79.63
382.0,75.51
381.0,75.75
380.0,74.95
379.0,74.02
378.0,72.94
377.0,75.30
376.0,74.61
375.0,75.50
374.0,74.37
373.0,75.74
372.0,77.79
371.0,74.10
370.0,74.42
369.0,74.18
368.0,74.25
367.0,75.63
366.0,75.09
365.0,74.05
364.0,74.44
363.0,76.22
362.0,72.87
361.0,73.90
360.0,75.68
359.0,73.96
358.0,75.27
357.0,74.71
356.0,74.50
355.0,74.14
354.0,73.67
353.0,74.68
352.0,75.07
351.0,74.87
350.0,73.36
349.0,72.63
348.0,73.31
347.0,75.42
346.0,73.21
345.0,74.74
344.0,74.56
343.0,75.93
342.0,73.13
341.0,74.45
340.0,73.89
339.0,72.19
338.0,73.00
337.0,73.88
336.0,71.41
335.0,72.54
334.0,74.59
333.0,77.95
332.0,75.70
331.0,70.45
330.0,75.12
329.0,71.58
328.0,69.73
327.0,73.46
326.0,72.19
325.0,69.55
324.0,69.48
323.0,68.72
322.0,68.60
321.0,67.76
320.0,67.43
319.0,66.50
318.0,65.64
317.0,65.17
316.0,63.73
315.0,63.06
314.0,60.93
313.0,61.04
312.0,58.70
311.0,57.36
310.0,55.39
309.0,53.13
308.0,52.06
307.0,50.05
306.0,46.73
305.0,43.65
304.0,39.86
303.0,36.52
302.0,32.66
301.0,28.20
300.0,23.86
299.0,18.64
298.0,14.68
297.0,11.18
296.0,7.20
295.0,4.37
294.0,2.77
293.0,2.88
292.0,2.03
291.0,2.42
290.0,1.53
289.0,2.04
288.0,1.77
287.0,2.87
286.0,3.22
285.0,2.61
284.0,3.86
283.0,3.11
282.0,3.03
281.0,3.74
