Created as New Dataset,
nm,%T
700.0,79.44
699.0,79.44
698.0,79.46
697.0,79.46
696.0,79.44
695.0,79.46
694.0,79.42
693.0,79.45
692.0,79.37
691.0,79.44
690.0,79.40
689.0,79.43
688.0,79.42
687.0,79.34
686.0,79.37
685.0,79.43
684.0,79.39
683.0,79.29
682.0,79.35
681.0,79.44
680.0,79.24
679.0,79.33
678.0,79.20
677.0,79.31
676.0,79.38
675.0,79.27
674.0,79.34
673.0,79.36
672.0,79.30
671.0,79.40
670.0,79.39
669.0,79.23
668.0,79.45
667.0,79.31
666.0,79.32
665.0,79.41
664.0,79.30
663.0,79.23
662.0,79.32
661.0,79.40
660.0,79.17
659.0,79.21
658.0,79.34
657.0,79.26
656.0,79.17
655.0,79.25
654.0,79.30
653.0,79.22
652.0,79.28
651.0,79.33
650.0,79.25
649.0,79.27
648.0,79.22
647.0,79.21
646.0,79.18
645.0,79.29
644.0,79.28
643.0,79.20
642.0,79.15
641.0,79.29
640.0,79.31
639.0,79.27
638.0,79.22
637.0,79.26
636.0,79.19
635.0,79.16
634.0,79.19
633.0,79.25
632.0,79.26
631.0,79.22
630.0,79.16
629.0,79.19
628.0,79.16
627.0,79.22
626.0,79.15
625.0,79.23
624.0,79.07
623.0,79.20
622.0,79.11
621.0,79.21
620.0,79.09
619.0,79.18
618.0,79.18
617.0,79.17
616.0,79.09
615.0,79.13
614.0,79.14
613.0,79.03
612.0,79.10
611.0,79.21
610.0,79.10
609.0,79.07
608.0,79.05
607.0,79.11
606.0,79.09
605.0,79.10
604.0,79.02
603.0,79.02
602.0,79.10
601.0,79.11
600.0,79.04
599.0,78.98
598.0,79.04
597.0,79.02
596.0,79.01
595.0,79.04
594.0,79.02
593.0,79.00
592.0,78.95
591.0,78.95
590.0,79.00
589.0,78.99
588.0,78.99
587.0,78.88
586.0,78.91
585.0,78.96
584.0,78.92
583.0,78.98
582.0,78.99
581.0,78.98
580.0,78.91
579.0,78.98
578.0,78.92
577.0,78.93
576.0,78.92
575.0,78.93
574.0,78.86
573.0,78.85
572.0,78.76
571.0,78.88
570.0,78.87
569.0,79.09
568.0,78.96
567.0,78.94
566.0,78.86
565.0,79.00
564.0,78.78
563.0,78.91
562.0,78.77
561.0,78.77
560.0,78.81
559.0,78.72
558.0,78.88
557.0,78.85
556.0,78.89
555.0,78.81
554.0,78.69
553.0,78.89
552.0,78.77
551.0,78.79
550.0,78.77
549.0,78.82
548.0,78.87
547.0,78.88
546.0,78.79
545.0,78.95
544.0,78.71
543.0,78.73
542.0,78.86
541.0,78.69
540.0,78.75
539.0,78.74
538.0,78.80
537.0,78.75
536.0,78.63
535.0,78.84
534.0,78.78
533.0,78.72
532.0,78.76
531.0,78.72
530.0,78.65
529.0,78.78
528.0,78.68
527.0,78.61
526.0,78.71
525.0,78.63
524.0,78.61
523.0,78.67
522.0,78.58
521.0,78.62
520.0,78.62
519.0,78.62
518.0,78.71
517.0,78.55
516.0,78.70
515.0,78.63
514.0,78.72
513.0,78.59
512.0,78.57
511.0,78.49
510.0,78.55
509.0,78.43
508.0,78.58
507.0,78.38
506.0,78.55
505.0,78.56
504.0,78.51
503.0,78.54
502.0,78.48
501.0,78.53
500.0,78.52
499.0,78.59
498.0,78.49
497.0,78.37
496.0,78.43
495.0,78.37
494.0,78.31
493.0,78.35
492.0,78.48
491.0,78.34
490.0,78.38
489.0,78.35
488.0,78.30
487.0,78.41
