Created as New Dataset,
nm,%T
700.0,65.58
699.0,65.51
698.0,65.58
697.0,65.60
696.0,65.61
695.0,65.65
694.0,65.53
693.0,65.60
692.0,65.55
691.0,65.58
690.0,65.54
689.0,65.61
688.0,65.57
687.0,65.52
686.0,65.52
685.0,65.55
684.0,65.52
683.0,65.56
682.0,65.69
681.0,65.59
680.0,65.58
679.0,65.78
678.0,65.59
677.0,65.64
676.0,65.70
675.0,65.50
674.0,65.57
673.0,65.50
672.0,65.65
671.0,65.65
670.0,65.68
669.0,65.57
668.0,65.54
667.0,65.52
666.0,65.47
665.0,65.52
664.0,65.62
663.0,65.59
662.0,65.61
661.0,65.65
660.0,65.53
659.0,65.41
658.0,65.52
657.0,65.54
656.0,65.46
655.0,65.57
654.0,65.53
653.0,65.58
652.0,65.52
651.0,65.54
650.0,65.68
649.0,65.49
648.0,65.70
647.0,65.55
646.0,65.56
645.0,65.53
644.0,65.58
643.0,65.46
642.0,65.56
641.0,65.54
640.0,65.63
639.0,65.58
638.0,65.43
637.0,65.54
636.0,65.58
635.0,65.60
634.0,65.60
633.0,65.50
632.0,65.54
631.0,65.53
630.0,65.61
629.0,65.50
628.0,65.52
627.0,65.51
626.0,65.46
625.0,65.50
624.0,65.47
623.0,65.52
622.0,65.48
621.0,65.55
620.0,65.50
619.0,65.44
618.0,65.53
617.0,65.39
616.0,65.37
615.0,65.46
614.0,65.42
613.0,65.37
612.0,65.38
611.0,65.45
610.0,65.39
609.0,65.40
608.0,65.32
607.0,65.38
606.0,65.41
605.0,65.46
604.0,65.30
603.0,65.25
602.0,65.29
601.0,65.28
600.0,65.33
599.0,65.26
598.0,65.32
597.0,65.15
596.0,65.19
595.0,65.25
594.0,65.16
593.0,65.22
592.0,65.11
591.0,65.17
590.0,65.17
589.0,65.12
588.0,65.06
587.0,65.05
586.0,65.06
585.0,65.07
584.0,65.03
583.0,65.05
582.0,65.01
581.0,65.01
580.0,65.02
579.0,64.98
578.0,65.14
577.0,65.15
576.0,64.97
575.0,65.10
574.0,64.98
573.0,64.89
572.0,64.84
571.0,65.03
570.0,64.90
569.0,65.10
568.0,64.97
567.0,64.93
566.0,65.01
565.0,65.00
564.0,64.92
563.0,65.00
562.0,64.90
561.0,64.84
560.0,64.87
559.0,64.86
558.0,64.95
557.0,64.84
556.0,64.84
555.0,64.91
554.0,64.83
553.0,64.87
552.0,64.93
551.0,64.80
550.0,64.89
549.0,64.83
548.0,64.92
547.0,64.94
546.0,64.87
545.0,64.95
544.0,64.88
543.0,64.82
542.0,64.84
541.0,64.81
540.0,64.82
539.0,64.81
538.0,64.87
537.0,64.74
536.0,64.73
535.0,64.72
534.0,64.83
533.0,64.69
532.0,64.81
531.0,64.75
530.0,64.73
529.0,64.65
528.0,64.66
527.0,64.55
526.0,64.67
525.0,64.67
524.0,64.58
523.0,64.64
