Created as New Dataset,
nm,%T
700.0,80.37
699.0,80.38
698.0,80.41
697.0,80.50
696.0,80.40
695.0,80.38
694.0,80.34
693.0,80.34
692.0,80.33
691.0,80.28
690.0,80.34
689.0,80.34
688.0,80.34
687.0,80.36
686.0,80.27
685.0,80.30
684.0,80.26
683.0,80.22
682.0,80.15
681.0,80.13
680.0,80.15
679.0,80.23
678.0,80.02
677.0,80.16
676.0,80.12
675.0,79.97
674.0,80.04
673.0,80.19
672.0,80.20
671.0,80.17
670.0,80.31
669.0,80.07
668.0,80.12
667.0,80.06
666.0,80.13
665.0,80.17
664.0,80.12
663.0,80.10
662.0,79.98
661.0,80.23
660.0,80.12
659.0,80.13
658.0,80.05
657.0,80.06
656.0,79.95
655.0,80.11
654.0,80.12
653.0,80.14
652.0,80.21
651.0,80.10
650.0,80.07
649.0,80.00
648.0,80.07
647.0,80.05
646.0,80.03
645.0,80.16
644.0,80.03
643.0,79.99
642.0,80.11
641.0,79.96
640.0,79.97
639.0,80.04
638.0,80.06
637.0,79.98
636.0,79.92
635.0,80.00
634.0,80.03
633.0,79.99
632.0,80.08
631.0,80.03
630.0,80.09
629.0,79.99
628.0,80.03
627.0,79.99
626.0,79.97
625.0,80.01
624.0,79.92
623.0,80.07
622.0,79.95
621.0,79.96
620.0,80.00
619.0,79.99
618.0,80.05
617.0,80.05
616.0,79.98
615.0,79.97
614.0,79.91
613.0,79.90
612.0,79.99
611.0,80.04
610.0,79.99
609.0,79.88
608.0,79.91
607.0,79.96
606.0,79.96
605.0,79.99
604.0,79.95
603.0,80.04
602.0,80.00
601.0,79.92
600.0,79.96
599.0,79.97
598.0,79.99
597.0,80.06
596.0,80.00
595.0,80.10
594.0,79.86
593.0,79.96
592.0,79.98
591.0,80.00
590.0,80.00
589.0,80.00
588.0,79.91
587.0,79.91
586.0,79.97
585.0,79.97
584.0,79.90
583.0,79.89
582.0,79.87
581.0,79.91
580.0,79.75
579.0,79.80
578.0,79.77
577.0,79.74
576.0,79.79
575.0,79.79
574.0,79.57
573.0,79.52
572.0,79.47
571.0,79.58
570.0,79.56
569.0,79.63
568.0,79.57
567.0,79.45
566.0,79.42
565.0,79.53
564.0,79.38
563.0,79.49
562.0,79.22
561.0,79.35
560.0,79.46
559.0,79.33
558.0,79.55
557.0,79.48
556.0,79.52
555.0,79.43
554.0,79.31
553.0,79.42
552.0,79.52
551.0,79.49
550.0,79.46
549.0,79.42
548.0,79.50
547.0,79.44
546.0,79.48
545.0,79.59
544.0,79.42
543.0,79.38
542.0,79.53
541.0,79.48
540.0,79.53
539.0,79.49
538.0,79.57
537.0,79.43
536.0,79.44
535.0,79.39
534.0,79.48
533.0,79.33
532.0,79.32
531.0,79.47
530.0,79.37
529.0,79.39
528.0,79.37
527.0,79.34
526.0,79.42
525.0,79.38
524.0,79.36
523.0,79.51
522.0,79.37
521.0,79.38
520.0,79.34
519.0,79.36
518.0,79.36
517.0,79.43
516.0,79.48
515.0,79.47
514.0,79.39
513.0,79.34
512.0,79.24
511.0,79.32
510.0,79.27
509.0,79.36
508.0,79.36
507.0,79.31
506.0,79.26
505.0,79.29
504.0,79.27
503.0,79.35
502.0,79.35
501.0,79.43
500.0,79.32
499.0,79.24
498.0,79.26
497.0,79.16
496.0,79.37
495.0,79.26
494.0,79.25
493.0,79.23
492.0,79.18
491.0,79.14
490.0,79.09
489.0,79.29
488.0,79.20
487.0,79.30
486.0,79.25
485.0,79.05
484.0,79.09
483.0,79.15
482.0,79.16
481.0,79.23
480.0,79.22
479.0,79.12
478.0,79.00
477.0,79.04
476.0,79.20
475.0,79.04
474.0,79.27
473.0,79.10
472.0,79.26
471.0,78.89
470.0,79.06
469.0,78.98
468.0,78.93
467.0,78.94
466.0,79.02
465.0,79.00
464.0,78.96
463.0,78.93
462.0,78.90
461.0,78.67
460.0,78.86
459.0,78.86
458.0,78.80
457.0,78.65
456.0,78.54
455.0,78.83
454.0,78.65
453.0,78.64
452.0,78.89
451.0,78.55
450.0,78.54
449.0,78.38
448.0,78.63
447.0,78.65
446.0,78.58
445.0,78.43
444.0,78.56
443.0,78.34
442.0,78.29
441.0,78.25
440.0,78.20
439.0,78.15
438.0,78.39
437.0,78.33
436.0,78.38
435.0,78.03
434.0,78.07
433.0,78.11
432.0,78.16
431.0,78.05
430.0,78.33
429.0,77.87
428.0,77.95
427.0,78.01
426.0,77.83
425.0,77.63
424.0,78.13
423.0,77.79
422.0,78.05
421.0,77.23
420.0,77.45
419.0,77.62
418.0,77.71
417.0,77.55
416.0,77.38
415.0,77.50
414.0,77.54
413.0,77.58
412.0,77.44
411.0,77.41
410.0,77.27
409.0,77.33
408.0,77.28
407.0,77.40
406.0,77.26
405.0,77.15
404.0,77.18
403.0,77.25
402.0,77.05
401.0,77.00
400.0,77.13
399.0,76.98
398.0,76.94
397.0,76.90
396.0,76.85
395.0,76.80
394.0,76.71
393.0,76.79
392.0,76.66
391.0,76.65
390.0,76.45
389.0,76.54
388.0,76.48
387.0,76.51
386.0,76.65
