Created as New Dataset,
nm,%T
700.0,78.87
699.0,78.88
698.0,78.89
697.0,78.87
696.0,78.86
695.0,78.87
694.0,78.86
693.0,78.85
692.0,78.86
691.0,78.89
690.0,78.81
689.0,78.89
688.0,78.87
687.0,78.86
686.0,78.83
685.0,78.89
684.0,78.81
683.0,78.88
682.0,78.86
681.0,78.88
680.0,79.05
679.0,78.96
678.0,78.85
677.0,78.92
676.0,78.93
675.0,78.90
674.0,78.94
673.0,79.00
672.0,78.97
671.0,78.89
670.0,79.08
669.0,79.08
668.0,78.88
667.0,78.95
666.0,79.05
665.0,78.89
664.0,78.88
663.0,79.00
662.0,79.00
661.0,78.95
660.0,78.87
659.0,78.94
658.0,79.01
657.0,78.97
656.0,78.91
655.0,78.86
654.0,78.97
653.0,78.89
652.0,78.98
651.0,78.94
650.0,78.98
649.0,78.95
648.0,78.96
647.0,78.91
646.0,78.99
645.0,78.97
644.0,78.91
643.0,78.86
642.0,78.93
641.0,78.93
640.0,78.91
639.0,78.95
638.0,78.91
637.0,78.99
636.0,78.96
635.0,78.93
634.0,79.01
633.0,78.89
632.0,78.83
631.0,78.96
630.0,78.91
629.0,78.90
628.0,78.85
627.0,78.90
626.0,78.91
625.0,78.91
624.0,78.89
623.0,78.93
622.0,78.95
621.0,78.88
620.0,78.88
619.0,78.93
618.0,78.90
617.0,78.87
616.0,78.86
615.0,78.88
614.0,78.80
613.0,78.84
612.0,78.85
611.0,78.80
610.0,78.83
609.0,78.84
608.0,78.83
607.0,78.77
606.0,78.84
605.0,78.81
604.0,78.78
603.0,78.78
602.0,78.76
601.0,78.75
600.0,78.77
599.0,78.75
598.0,78.80
597.0,78.77
596.0,78.65
595.0,78.79
594.0,78.74
593.0,78.70
592.0,78.74
591.0,78.71
590.0,78.71
589.0,78.76
588.0,78.72
587.0,78.74
586.0,78.77
585.0,78.87
584.0,78.78
583.0,78.80
582.0,78.83
581.0,78.74
580.0,78.75
579.0,78.87
578.0,78.92
577.0,78.83
576.0,78.88
575.0,78.83
574.0,78.83
573.0,78.88
572.0,78.94
571.0,78.94
570.0,78.89
569.0,79.01
568.0,78.92
567.0,78.92
566.0,78.87
565.0,78.94
564.0,78.95
563.0,78.89
562.0,78.91
561.0,78.90
560.0,78.89
559.0,78.77
558.0,78.86
557.0,78.86
556.0,78.95
555.0,78.84
554.0,78.83
553.0,78.89
552.0,78.93
551.0,78.79
550.0,78.90
549.0,78.89
548.0,78.88
547.0,78.75
546.0,78.77
545.0,78.95
544.0,78.82
543.0,78.84
542.0,78.73
541.0,78.76
540.0,78.88
539.0,78.80
538.0,78.72
537.0,78.76
536.0,78.65
535.0,78.78
534.0,78.77
533.0,78.79
532.0,78.64
531.0,78.76
530.0,78.70
529.0,78.76
528.0,78.66
527.0,78.65
526.0,78.78
525.0,78.68
524.0,78.72
523.0,78.70
522.0,78.68
521.0,78.63
520.0,78.61
519.0,78.68
518.0,78.67
517.0,78.78
516.0,78.63
515.0,78.67
514.0,78.66
513.0,78.61
512.0,78.65
511.0,78.57
510.0,78.60
509.0,78.60
508.0,78.50
507.0,78.50
506.0,78.49
505.0,78.56
504.0,78.63
503.0,78.52
502.0,78.59
501.0,78.52
500.0,78.50
499.0,78.39
498.0,78.39
497.0,78.47
496.0,78.39
495.0,78.40
494.0,78.42
493.0,78.29
492.0,78.29
491.0,78.26
490.0,78.33
489.0,78.24
488.0,78.21
487.0,78.23
486.0,78.17
485.0,78.12
484.0,78.13
483.0,78.07
482.0,78.09
481.0,78.14
480.0,77.92
479.0,77.93
478.0,77.99
477.0,77.91
476.0,77.86
475.0,77.90
474.0,77.82
473.0,77.86
472.0,77.75
471.0,77.75
470.0,77.74
469.0,77.78
468.0,77.78
467.0,77.63
466.0,77.65
465.0,77.57
464.0,77.47
463.0,77.47
462.0,77.54
461.0,77.49
460.0,77.36
459.0,77.52
458.0,77.37
457.0,77.36
456.0,77.31
455.0,77.02
454.0,77.06
453.0,77.16
452.0,77.00
451.0,76.99
450.0,76.82
449.0,76.83
448.0,76.78
447.0,76.63
446.0,76.62
445.0,76.36
444.0,76.27
443.0,76.39
442.0,76.11
441.0,76.18
440.0,76.09
439.0,76.03
438.0,75.72
437.0,75.80
436.0,75.58
435.0,75.58
434.0,75.35
433.0,75.11
432.0,75.25
431.0,75.00
430.0,75.01
429.0,74.76
428.0,74.54
427.0,74.48
426.0,74.13
425.0,73.96
424.0,73.69
423.0,73.58
422.0,73.26
421.0,73.25
420.0,72.72
419.0,72.42
418.0,72.02
417.0,71.77
416.0,71.47
415.0,71.12
414.0,70.79
413.0,70.40
412.0,70.07
411.0,69.63
410.0,69.23
409.0,68.92
408.0,68.54
407.0,68.08
406.0,67.66
405.0,67.16
404.0,66.69
403.0,66.11
402.0,65.66
401.0,65.07
400.0,64.61
399.0,63.96
398.0,63.38
397.0,62.84
396.0,62.17
395.0,61.46
394.0,60.88
393.0,60.25
392.0,59.36
391.0,58.93
390.0,58.28
389.0,57.33
388.0,56.87
387.0,56.20
386.0,55.43
385.0,58.25
384.0,55.86
383.0,55.45
382.0,55.35
381.0,56.59
380.0,52.43
379.0,55.13
378.0,50.75
377.0,50.20
376.0,50.97
375.0,50.23
374.0,49.59
373.0,50.17
372.0,51.09
371.0,49.74
370.0,48.04
369.0,47.53
368.0,46.98
367.0,47.76
366.0,46.46
365.0,45.78
364.0,45.77
363.0,45.84
362.0,43.84
361.0,44.67
360.0,43.89
359.0,43.81
358.0,42.61
357.0,42.05
356.0,42.02
355.0,41.29
354.0,41.26
353.0,40.59
352.0,39.93
351.0,39.70
350.0,38.21
349.0,35.63
348.0,35.03
347.0,33.54
346.0,34.54
345.0,33.56
344.0,33.46
343.0,30.67
342.0,28.72
341.0,30.53
340.0,28.27
339.0,25.91
338.0,22.41
337.0,21.09
336.0,18.48
335.0,18.59
334.0,17.68
333.0,16.42
332.0,15.31
331.0,9.49
330.0,13.04
329.0,14.08
328.0,9.84
327.0,7.56
326.0,2.61
325.0,1.96
324.0,1.38
323.0,2.23
322.0,1.65
321.0,0.04
320.0,0.86
319.0,0.75
318.0,0.84
317.0,0.63
316.0,0.67
315.0,1.79
314.0,1.50
313.0,1.07
312.0,0.82
311.0,0.80
310.0,0.36
309.0,2.18
308.0,0.98
307.0,1.08
306.0,0.95
305.0,1.14
304.0,0.83
303.0,0.83
302.0,1.57
301.0,0.85
300.0,1.48
299.0,1.30
298.0,0.31
297.0,1.05
296.0,1.20
295.0,2.13
294.0,1.09
293.0,0.80
292.0,0.99
291.0,0.19
290.0,0.93
289.0,1.60
288.0,0.70
287.0,1.20
286.0,0.93
285.0,1.26
284.0,1.40
283.0,1.59
282.0,1.40
281.0,1.68
280.0,2.09
279.0,1.47
278.0,1.99
277.0,1.48
276.0,1.30
275.0,1.47
274.0,1.61
273.0,1.08
272.0,1.49
271.0,1.05
270.0,1.87
269.0,0.08
268.0,1.06
267.0,1.63
266.0,1.34
265.0,0.98
264.0,1.51
263.0,0.80
262.0,0.96
261.0,0.79
260.0,0.87
259.0,0.75
258.0,0.35
257.0,1.27
256.0,1.10
255.0,0.72
254.0,0.71
253.0,1.71
252.0,0.93
251.0,1.32
250.0,0.24
249.0,1.08
248.0,0.95
247.0,1.39
246.0,1.53
245.0,1.06
244.0,1.14
243.0,1.13
242.0,0.95
241.0,1.44
240.0,1.37
239.0,1.25
238.0,1.36
237.0,0.95
236.0,0.93
235.0,1.92
234.0,1.64
233.0,0.75
232.0,1.78
231.0,0.47
230.0,0.74
229.0,0.77
228.0,1.50
227.0,1.18
226.0,0.57
225.0,2.55
224.0,2.41
223.0,1.35
222.0,2.37
221.0,1.23
220.0,2.32
219.0,1.21
218.0,2.20
217.0,4.11
216.0,4.42
215.0,2.30
214.0,4.26
213.0,3.12
212.0,4.67
211.0,4.62
210.0,2.80
209.0,4.44
208.0,2.78
207.0,4.96
206.0,5.37
205.0,3.22
204.0,3.47
203.0,10.51
202.0,6.28
201.0,8.76
200.0,12.12
