Created as New Dataset,
nm,%T
700.0,81.20
699.0,81.21
698.0,81.22
697.0,81.24
696.0,81.24
695.0,81.21
694.0,81.16
693.0,81.16
692.0,81.24
691.0,81.23
690.0,81.21
689.0,81.25
688.0,81.25
687.0,81.23
686.0,81.19
685.0,81.20
684.0,81.22
683.0,81.29
682.0,81.37
681.0,81.12
680.0,81.18
679.0,81.40
678.0,81.21
677.0,81.19
676.0,81.17
675.0,81.16
674.0,81.27
673.0,81.39
672.0,81.33
671.0,81.41
670.0,81.40
669.0,81.19
668.0,81.32
667.0,81.31
666.0,81.37
665.0,81.30
664.0,81.32
663.0,81.30
662.0,81.27
661.0,81.39
660.0,81.31
659.0,81.33
658.0,81.42
657.0,81.38
656.0,81.22
655.0,81.43
654.0,81.32
653.0,81.33
652.0,81.42
651.0,81.34
650.0,81.43
649.0,81.34
648.0,81.36
647.0,81.38
646.0,81.35
645.0,81.32
644.0,81.41
643.0,81.37
642.0,81.34
641.0,81.46
640.0,81.41
639.0,81.50
638.0,81.48
637.0,81.43
636.0,81.42
635.0,81.44
634.0,81.36
633.0,81.46
632.0,81.49
631.0,81.46
630.0,81.48
629.0,81.36
628.0,81.39
627.0,81.49
626.0,81.47
625.0,81.42
624.0,81.35
623.0,81.48
622.0,81.44
621.0,81.50
620.0,81.49
619.0,81.50
618.0,81.53
617.0,81.50
616.0,81.50
615.0,81.49
614.0,81.53
613.0,81.42
612.0,81.48
611.0,81.57
610.0,81.43
609.0,81.47
608.0,81.42
607.0,81.44
606.0,81.60
605.0,81.48
604.0,81.44
603.0,81.51
602.0,81.51
601.0,81.52
600.0,81.52
599.0,81.48
598.0,81.54
597.0,81.43
596.0,81.55
595.0,81.58
594.0,81.45
593.0,81.51
592.0,81.55
591.0,81.55
590.0,81.60
589.0,81.58
588.0,81.48
587.0,81.48
586.0,81.54
585.0,81.63
584.0,81.65
583.0,81.60
582.0,81.61
581.0,81.66
580.0,81.58
579.0,81.76
578.0,81.78
577.0,81.77
576.0,81.67
575.0,81.74
574.0,81.71
573.0,81.72
572.0,81.72
571.0,81.69
570.0,81.76
569.0,81.88
568.0,81.76
567.0,81.70
566.0,81.75
565.0,81.81
564.0,81.64
563.0,81.76
562.0,81.68
561.0,81.73
560.0,81.73
559.0,81.66
558.0,81.82
557.0,81.78
556.0,81.79
555.0,81.81
554.0,81.76
553.0,81.81
552.0,81.73
551.0,81.72
550.0,81.86
549.0,81.85
548.0,81.77
547.0,81.96
546.0,81.71
545.0,81.85
544.0,81.78
543.0,81.77
542.0,81.92
541.0,81.86
540.0,81.80
539.0,81.86
538.0,81.94
537.0,81.88
536.0,81.87
535.0,81.82
534.0,81.86
533.0,81.85
532.0,81.91
531.0,81.95
530.0,81.77
529.0,81.87
528.0,81.85
527.0,81.88
526.0,81.77
525.0,81.87
524.0,81.88
523.0,81.84
522.0,81.81
521.0,81.87
520.0,81.89
519.0,81.85
518.0,81.89
517.0,81.97
516.0,82.03
515.0,81.96
514.0,81.97
513.0,81.89
512.0,81.94
511.0,81.87
510.0,81.92
509.0,81.95
508.0,81.88
507.0,81.87
506.0,81.96
505.0,81.91
504.0,81.96
503.0,82.01
502.0,81.96
501.0,81.88
500.0,81.91
499.0,81.84
498.0,81.93
497.0,81.92
496.0,82.07
495.0,81.94
494.0,81.84
493.0,81.86
492.0,81.91
491.0,81.86
490.0,81.97
489.0,81.93
488.0,81.92
487.0,81.78
486.0,81.94
485.0,81.73
484.0,82.02
483.0,81.92
482.0,81.73
481.0,81.90
480.0,81.77
479.0,81.85
478.0,81.83
477.0,81.81
476.0,81.94
475.0,81.87
474.0,81.93
473.0,81.84
472.0,81.92
471.0,81.62
470.0,81.96
469.0,81.87
468.0,81.94
467.0,81.85
466.0,81.85
465.0,81.87
464.0,81.80
463.0,81.99
462.0,81.70
461.0,81.74
460.0,81.94
459.0,81.77
458.0,81.95
457.0,81.68
456.0,81.64
455.0,81.87
454.0,81.84
453.0,81.83
452.0,81.84
451.0,81.71
450.0,81.73
449.0,81.57
448.0,81.84
447.0,81.85
446.0,81.69
445.0,81.53
444.0,81.75
443.0,81.24
442.0,81.65
441.0,81.52
440.0,81.69
439.0,81.50
438.0,81.55
437.0,81.81
436.0,81.79
435.0,81.55
434.0,81.59
433.0,81.10
432.0,81.73
431.0,81.11
430.0,81.68
429.0,81.45
428.0,81.51
427.0,81.22
426.0,81.33
425.0,81.18
424.0,81.51
423.0,80.98
422.0,80.98
421.0,80.78
420.0,81.15
419.0,81.02
418.0,80.98
417.0,80.97
416.0,80.78
415.0,80.91
414.0,80.81
413.0,80.86
412.0,80.48
411.0,80.58
410.0,80.47
409.0,80.51
408.0,80.40
407.0,80.42
406.0,80.19
405.0,80.02
404.0,79.96
403.0,79.94
402.0,79.93
401.0,79.80
400.0,79.69
399.0,79.48
398.0,79.26
397.0,79.23
396.0,79.23
395.0,78.93
394.0,78.79
393.0,78.92
392.0,78.65
391.0,78.50
390.0,78.24
389.0,77.96
388.0,77.81
387.0,77.78
386.0,77.76
385.0,76.04
384.0,71.85
383.0,77.76
382.0,76.30
381.0,79.10
380.0,73.50
379.0,73.68
378.0,76.31
377.0,76.72
376.0,75.91
375.0,76.69
374.0,76.26
373.0,74.46
372.0,72.95
371.0,72.98
370.0,75.23
369.0,74.51
368.0,76.88
367.0,74.40
366.0,74.00
365.0,73.20
364.0,71.44
363.0,74.12
362.0,74.36
361.0,74.68
360.0,73.43
359.0,70.42
358.0,71.44
357.0,75.05
356.0,71.66
355.0,71.51
354.0,70.65
353.0,66.20
352.0,66.47
351.0,68.39
350.0,67.47
349.0,64.91
348.0,64.70
347.0,63.86
346.0,62.15
345.0,61.35
344.0,57.87
343.0,55.15
342.0,52.14
341.0,53.62
340.0,49.15
339.0,47.63
338.0,41.68
337.0,36.55
336.0,35.02
335.0,27.24
334.0,30.36
333.0,20.59
332.0,20.02
331.0,14.35
330.0,11.02
329.0,5.00
328.0,5.01
327.0,3.17
326.0,0.54
325.0,-1.96
324.0,-0.36
323.0,-1.29
322.0,-0.47
321.0,-2.07
320.0,-1.56
319.0,-0.27
318.0,-0.29
317.0,-1.19
316.0,-0.57
315.0,-0.46
314.0,0.02
313.0,-0.38
312.0,-0.22
311.0,-0.22
310.0,-0.98
309.0,-1.09
308.0,-0.43
307.0,-0.30
306.0,0.12
305.0,-0.12
304.0,-0.15
303.0,-1.56
302.0,0.55
301.0,-1.51
300.0,-0.42
