Created as New Dataset,
nm,%T
700.0,69.01
699.0,68.93
698.0,68.93
697.0,68.96
696.0,68.92
695.0,68.94
694.0,68.93
693.0,68.90
692.0,68.84
691.0,68.88
690.0,68.83
689.0,68.85
688.0,68.81
687.0,68.81
686.0,68.77
685.0,68.82
684.0,68.77
683.0,68.70
682.0,68.79
681.0,68.93
680.0,68.82
679.0,68.82
678.0,68.64
677.0,68.72
676.0,68.72
675.0,68.66
674.0,68.57
673.0,68.67
672.0,68.73
671.0,68.67
670.0,68.73
669.0,68.69
668.0,68.66
667.0,68.54
666.0,68.52
665.0,68.61
664.0,68.69
663.0,68.50
662.0,68.53
661.0,68.62
660.0,68.55
659.0,68.51
658.0,68.43
657.0,68.49
656.0,68.35
655.0,68.40
654.0,68.45
653.0,68.43
652.0,68.41
651.0,68.39
650.0,68.42
649.0,68.27
648.0,68.37
647.0,68.29
646.0,68.20
645.0,68.28
644.0,68.24
643.0,68.19
642.0,68.30
641.0,68.16
640.0,68.24
639.0,68.13
638.0,68.12
637.0,68.13
636.0,68.11
635.0,67.99
634.0,68.10
633.0,68.03
632.0,68.05
631.0,68.00
630.0,68.02
629.0,67.95
628.0,67.90
627.0,67.87
626.0,67.87
625.0,67.82
624.0,67.73
623.0,67.77
622.0,67.69
621.0,67.74
620.0,67.74
619.0,67.74
618.0,67.76
617.0,67.66
616.0,67.57
615.0,67.60
614.0,67.59
613.0,67.47
612.0,67.53
611.0,67.52
610.0,67.48
609.0,67.41
608.0,67.37
607.0,67.30
606.0,67.38
605.0,67.41
604.0,67.31
603.0,67.32
602.0,67.18
601.0,67.21
600.0,67.10
599.0,67.14
598.0,67.02
597.0,67.00
596.0,67.01
595.0,67.01
594.0,66.97
593.0,66.94
592.0,66.91
591.0,66.83
590.0,66.96
589.0,66.96
588.0,66.86
587.0,66.83
586.0,66.81
585.0,66.86
584.0,66.87
583.0,66.93
582.0,66.94
581.0,66.95
580.0,66.83
579.0,66.88
578.0,66.90
577.0,66.90
576.0,66.86
575.0,66.94
574.0,66.80
573.0,66.85
572.0,66.68
571.0,66.64
570.0,66.70
569.0,66.84
568.0,66.71
567.0,66.61
566.0,66.63
565.0,66.63
564.0,66.49
563.0,66.55
562.0,66.41
561.0,66.44
560.0,66.49
559.0,66.40
558.0,66.44
557.0,66.31
556.0,66.34
555.0,66.23
554.0,66.22
553.0,66.31
552.0,66.29
551.0,66.19
550.0,66.25
549.0,66.33
548.0,66.34
547.0,66.25
546.0,66.17
545.0,66.24
544.0,66.05
543.0,66.20
542.0,66.22
541.0,66.06
540.0,66.10
539.0,66.04
538.0,66.11
537.0,66.09
536.0,65.97
535.0,66.03
534.0,65.98
533.0,65.93
532.0,66.01
531.0,66.00
530.0,65.84
529.0,65.94
528.0,65.86
527.0,65.85
526.0,65.81
525.0,65.80
524.0,65.83
523.0,65.87
522.0,65.83
521.0,65.81
520.0,65.73
519.0,65.74
518.0,65.81
517.0,65.80
516.0,65.75
515.0,65.69
514.0,65.77
513.0,65.70
512.0,65.66
511.0,65.67
510.0,65.56
509.0,65.52
508.0,65.58
507.0,65.53
506.0,65.61
505.0,65.50
504.0,65.47
503.0,65.45
502.0,65.48
501.0,65.52
500.0,65.48
499.0,65.44
498.0,65.40
497.0,65.29
496.0,65.27
495.0,65.34
494.0,65.26
493.0,65.15
492.0,65.26
491.0,65.19
490.0,65.15
489.0,65.21
488.0,65.17
487.0,65.09
486.0,65.04
485.0,64.94
484.0,65.02
483.0,65.00
482.0,64.80
481.0,64.91
480.0,64.87
479.0,64.86
478.0,64.76
477.0,64.61
476.0,64.71
475.0,64.59
474.0,64.87
473.0,64.59
472.0,64.62
471.0,64.38
470.0,64.62
469.0,64.57
468.0,64.55
467.0,64.54
466.0,64.43
465.0,64.38
464.0,64.46
463.0,64.41
462.0,64.08
461.0,64.15
460.0,64.25
459.0,63.96
458.0,63.95
457.0,63.97
456.0,63.64
455.0,63.76
454.0,63.91
453.0,63.45
452.0,63.41
451.0,63.32
450.0,63.22
449.0,63.18
448.0,63.12
447.0,63.07
446.0,62.81
445.0,62.73
444.0,62.58
443.0,62.47
442.0,62.52
441.0,62.25
440.0,62.24
439.0,62.06
438.0,61.78
437.0,62.03
436.0,61.62
435.0,61.40
434.0,60.91
433.0,60.78
432.0,60.38
431.0,60.48
430.0,59.77
429.0,59.49
428.0,59.39
427.0,58.72
426.0,58.75
425.0,58.59
424.0,58.03
423.0,57.11
422.0,56.84
421.0,56.25
420.0,56.46
419.0,55.98
418.0,55.48
417.0,55.08
416.0,54.47
415.0,54.02
414.0,53.41
413.0,52.81
412.0,52.16
411.0,51.60
410.0,51.10
409.0,50.38
408.0,49.80
407.0,49.17
406.0,48.38
405.0,47.59
404.0,46.98
403.0,46.31
402.0,45.44
401.0,44.61
400.0,43.95
399.0,43.22
398.0,42.19
397.0,41.21
396.0,40.49
395.0,39.54
394.0,38.77
393.0,37.77
392.0,37.04
391.0,36.05
390.0,35.32
389.0,34.19
388.0,33.58
387.0,32.79
386.0,32.08
385.0,27.74
384.0,25.94
383.0,23.01
382.0,23.41
381.0,23.55
380.0,27.55
379.0,27.45
378.0,25.57
377.0,25.76
376.0,27.94
375.0,24.14
374.0,22.92
373.0,23.34
372.0,22.67
371.0,22.15
370.0,21.95
369.0,21.27
368.0,22.49
367.0,21.84
366.0,21.75
365.0,18.55
364.0,18.98
363.0,18.93
362.0,19.52
