Created as New Dataset,
nm,%T
700.0,82.21
699.0,82.26
698.0,82.23
697.0,82.22
696.0,82.30
695.0,82.20
694.0,82.13
693.0,82.19
692.0,82.12
691.0,82.09
690.0,82.09
689.0,82.14
688.0,82.04
687.0,82.01
686.0,82.00
685.0,81.99
684.0,81.97
683.0,81.99
682.0,81.69
681.0,81.80
680.0,81.77
679.0,82.06
678.0,81.65
677.0,81.83
676.0,81.74
675.0,81.62
674.0,81.69
673.0,81.82
672.0,81.81
671.0,81.88
670.0,81.71
669.0,81.70
668.0,81.73
667.0,81.63
666.0,81.62
665.0,81.68
664.0,81.79
663.0,81.55
662.0,81.61
661.0,81.66
660.0,81.56
659.0,81.59
658.0,81.57
657.0,81.51
656.0,81.47
655.0,81.45
654.0,81.40
653.0,81.39
652.0,81.52
651.0,81.53
650.0,81.55
649.0,81.46
648.0,81.47
647.0,81.42
646.0,81.26
645.0,81.39
644.0,81.30
643.0,81.28
642.0,81.36
641.0,81.33
640.0,81.38
639.0,81.36
638.0,81.27
637.0,81.40
636.0,81.22
635.0,81.21
634.0,81.20
633.0,81.26
632.0,81.24
631.0,81.14
630.0,81.25
629.0,81.11
628.0,81.01
627.0,81.14
626.0,81.07
625.0,81.20
624.0,80.97
623.0,81.06
622.0,80.97
621.0,81.14
620.0,81.09
619.0,81.02
618.0,81.03
617.0,81.02
616.0,80.85
615.0,80.98
614.0,80.91
613.0,80.91
612.0,80.86
611.0,80.87
610.0,80.91
609.0,80.82
608.0,80.85
607.0,80.81
606.0,80.89
605.0,80.86
604.0,80.81
603.0,80.81
602.0,80.76
601.0,80.74
600.0,80.74
599.0,80.78
598.0,80.62
597.0,80.71
596.0,80.69
595.0,80.70
594.0,80.61
593.0,80.58
592.0,80.59
591.0,80.70
590.0,80.65
589.0,80.64
588.0,80.54
587.0,80.46
586.0,80.45
585.0,80.54
584.0,80.54
583.0,80.50
582.0,80.36
581.0,80.40
580.0,80.29
579.0,80.33
578.0,80.34
577.0,80.30
576.0,80.14
575.0,80.20
574.0,80.11
573.0,80.06
572.0,79.94
571.0,79.91
570.0,79.98
569.0,80.04
568.0,79.87
567.0,79.79
566.0,79.63
565.0,79.87
564.0,79.70
563.0,79.76
562.0,79.72
561.0,79.66
560.0,79.70
559.0,79.54
558.0,79.80
557.0,79.78
556.0,79.69
555.0,79.62
554.0,79.67
553.0,79.67
552.0,79.71
551.0,79.72
550.0,79.55
549.0,79.59
548.0,79.73
547.0,79.68
546.0,79.69
545.0,79.67
544.0,79.62
543.0,79.61
542.0,79.62
541.0,79.61
540.0,79.69
539.0,79.60
538.0,79.61
537.0,79.55
536.0,79.50
535.0,79.65
534.0,79.57
533.0,79.49
532.0,79.57
531.0,79.59
530.0,79.54
529.0,79.51
528.0,79.45
527.0,79.39
526.0,79.47
525.0,79.58
524.0,79.49
523.0,79.41
522.0,79.46
521.0,79.39
520.0,79.43
519.0,79.43
518.0,79.46
517.0,79.48
516.0,79.47
515.0,79.53
514.0,79.38
513.0,79.40
512.0,79.30
511.0,79.42
510.0,79.35
509.0,79.38
